epoch;modelOut;label;loss;running_avg
0.0;-0.095;-11.0303;119.5824;119.582
0.0;-3.3053;-2.6126;0.4799;0.645
0.0;185.1364;-2.2921;35129.418;1678.288
0.0;-10.1105;7.4935;309.8999;10.193
0.0;48.4606;4.6086;1922.9923;47.324
0.0;-0.39;5.1085;30.2333;0.624
0.0;-21.1465;-0.3803;431.2365;7.185
0.0;25.5886;-6.3142;1017.7913;14.375
0.0;-0.8405;-0.2571;0.3404;0.007
0.0;1.5554;1.6958;0.0197;0.001
0.0;3.4443;9.1255;32.2758;0.34
0.0;-0.0227;5.918;35.2911;0.328
0.0;0.0758;36.2051;1305.3279;10.79
0.0;0.4676;13.622;173.0372;1.322
0.0;0.5432;-1.7971;5.4771;0.042
0.0;0.4036;22.2055;475.321;3.156
0.0;2.4536;-4.0882;42.7941;0.266
0.0;0.5225;-13.6015;199.4873;1.167
0.0;1.8615;-11.6374;182.2206;1.008
0.0;1.375;-14.5108;252.3601;1.321
0.0;1.1884;11.5237;106.8192;0.531
0.0;1.901;7.2671;28.7946;0.136
0.0;2.3371;-5.9478;68.6385;0.311
0.0;1.5401;13.6675;147.0755;0.64
0.0;1.1595;0.075;1.1761;0.005
0.0;0.8251;-6.6436;55.7816;0.238
0.0;-0.5117;-2.2362;2.9742;0.012
0.0;-0.1725;4.5514;22.3151;0.092
0.0;1.9276;-6.3523;68.5574;0.244
0.0;3.4107;-5.9932;88.4342;0.304
0.0;1.6224;4.3805;7.607;0.025
0.0;1.0867;4.3206;10.458;0.034
0.0;2.2001;18.5373;266.9072;0.833
0.0;1.5423;1.3608;0.033;0.001
0.0;2.8335;8.7577;35.0959;0.103
0.0;4.0889;-4.403;72.1136;0.209
0.0;0.3494;-4.7042;25.5392;0.071
0.0;0.1876;2.2823;4.3876;0.013
0.0;0.2022;18.7264;343.1478;0.901
0.0;0.1715;3.1755;9.0239;0.023
0.0;0.246;2.6904;5.9754;0.015
0.0;0.3036;15.0361;217.0456;0.528
0.0;0.3729;-1.0309;1.9706;0.005
0.0;0.307;5.1085;23.0544;0.054
0.0;0.1523;-13.573;188.382;0.427
0.0;0.1712;-1.3151;2.2089;0.005
0.0;-0.0187;1.7164;3.0105;0.007
0.0;0.0117;6.282;39.3161;0.084
