Symbol,Company Name,Industry,Market Cap
A,"Agilent Technologies, Inc.",Diagnostics & Research,29601027599
AA,Alcoa Corporation,Aluminum,4518354000
AAC,Ares Acquisition Corporation,Shell Companies,696158428
AACG,ATA Creativity Global,Education & Training Services,33165195
AACI,Armada Acquisition Corp. I,Shell Companies,86218038
AACT,Ares Acquisition Corporation II,Shell Companies,639444992
AADI,"Aadi Bioscience, Inc.",Biotechnology,102247983
AAIC,Arlington Asset Investment Corp.,REIT - Mortgage,119460768
AAL,American Airlines Group Inc.,Airlines,7306588291
AAMC,Altisource Asset Management Corporation,Asset Management,10570313
AAME,Atlantic American Corporation,Insurance - Life,34479887
AAN,"The Aaron's Company, Inc.",Rental & Leasing Services,224436820
AAOI,"Applied Optoelectronics, Inc.",Semiconductors,236064900
AAON,"AAON, Inc.",Building Products & Equipment,4444453588
AAP,"Advance Auto Parts, Inc.",Specialty Retail,3052610499
AAPL,Apple Inc.,Consumer Electronics,2662347841710
AAT,"American Assets Trust, Inc.",REIT - Diversified,1378928058
AAU,Almaden Minerals Ltd.,Gold,19412367
AB,AllianceBernstein Holding L.P.,Asset Management,3247082100
ABAT,American Battery Technology Company Common Stock,Other Industrial Metals & Mining,251324812
ABBV,AbbVie Inc.,Drug Manufacturers - General,250442942230
ABCB,Ameris Bancorp,Banks - Regional,2558124352
ABCL,AbCellera Biologics Inc.,Biotechnology,1168998240
ABCM,Abcam plc,Biotechnology,5275061103
ABEO,Abeona Therapeutics Inc.,Biotechnology,93824861
ABEV,Ambev S.A.,Beverages - Brewers,39622123081
ABG,"Asbury Automotive Group, Inc.",Auto & Truck Dealerships,3828427464
ABIO,"ARCA biopharma, Inc.",Biotechnology,25938180
ABL,Abacus Life Inc.,Insurance - Life,401066016
ABLV,Able View Inc.,Advertising Agencies,36724380
ABM,ABM Industries Incorporated,Specialty Business Services,2575415460
ABNB,"Airbnb, Inc.",Travel Services,74623915614
ABOS,"Acumen Pharmaceuticals, Inc.",Biotechnology,127600043
ABR,"Arbor Realty Trust, Inc.",REIT - Mortgage,2321949900
ABSI,Absci Corporation,Biotechnology,111253200
ABT,Abbott Laboratories,Medical Devices,161388480000
ABUS,Arbutus Biopharma Corporation,Biotechnology,298251446
ABVC,"ABVC BioPharma, Inc.",Biotechnology,4781182
ABVX,Abivax SA,Biotechnology,579890978
AC,"Associated Capital Group, Inc.",Capital Markets,703775864
ACA,"Arcosa, Inc.",Infrastructure Operations,3343596626
ACAB,Atlantic Coastal Acquisition Corp. II,Shell Companies,115809063
ACAC,Acri Capital Acquisition Corporation,Shell Companies,62987348
ACAD,ACADIA Pharmaceuticals Inc.,Biotechnology,3639695492
ACAH,Atlantic Coastal Acquisition Corp.,Shell Companies,127776376
ACAX,Alset Capital Acquisition Corp.,Shell Companies,48824024
ACB,Aurora Cannabis Inc.,Drug Manufacturers - Specialty & Generic,188307510
ACBA,Ace Global Business Acquisition Limited,Shell Companies,40394712
ACCD,"Accolade, Inc.",Health Information Services,497033944
ACCO,ACCO Brands Corporation,Business Equipment & Supplies,480282044
ACDC,ProFrac Holding Corp.,Oil & Gas Equipment & Services,1518967640
ACEL,"Accel Entertainment, Inc.",Gambling,845884104
ACER,Acer Therapeutics Inc.,Biotechnology,20307317
ACET,"Adicet Bio, Inc.",Biotechnology,56416722
ACGL,Arch Capital Group Ltd.,Insurance - Diversified,30905952000
ACHC,"Acadia Healthcare Company, Inc.",Medical Care Facilities,6711028758
ACHL,Achilles Therapeutics plc,Biotechnology,36401172
ACHR,Archer Aviation Inc.,Aerospace & Defense,1389215482
ACHV,"Achieve Life Sciences, Inc.",Biotechnology,84001084
ACI,"Albertsons Companies, Inc.",Grocery Stores,12508395786
ACIC,American Coastal Insurance Corporation,Insurance - Property & Casualty,325982815
ACIU,AC Immune SA,Biotechnology,224699186
ACIW,"ACI Worldwide, Inc.",Software - Infrastructure,2163212400
ACLS,"Axcelis Technologies, Inc.",Semiconductor Equipment & Materials,4143701638
ACLX,"Arcellx, Inc.",Biotechnology,1650976260
ACM,AECOM,Engineering & Construction,10480825454
ACMR,"ACM Research, Inc.",Semiconductor Equipment & Materials,768888199
ACN,Accenture plc,Information Technology Services,183702041766
ACNB,ACNB Corporation,Banks - Regional,292470162
ACNT,Ascent Industries Co.,Steel,87565888
ACON,"Aclarion, Inc.",Health Information Services,2708661
ACOR,"Acorda Therapeutics, Inc.",Drug Manufacturers - Specialty & Generic,12433421
ACR,ACRES Commercial Realty Corp.,REIT - Mortgage,63137871
ACRE,Ares Commercial Real Estate Corporation,REIT - Mortgage,484519885
ACRO,Acropolis Infrastructure Acquisition Corp.,Shell Companies,171245740
ACRS,"Aclaris Therapeutics, Inc.",Diagnostics & Research,324239268
ACRV,"Acrivon Therapeutics, Inc.",Biotechnology,114558351
ACRX,"AcelRx Pharmaceuticals, Inc.",Drug Manufacturers - Specialty & Generic,8333451
ACST,Acasti Pharma Inc.,Biotechnology,22558560
ACT,"Enact Holdings, Inc.",Insurance - Specialty,4351836800
ACTG,Acacia Research Corporation,Specialty Business Services,352598653
ACU,Acme United Corporation,Household & Personal Products,116888008
ACVA,ACV Auctions Inc.,Auto & Truck Dealerships,2160587493
ACXP,"Acurx Pharmaceuticals, Inc.",Biotechnology,73738917
ADAG,Adagene Inc.,Biotechnology,57423457
ADAP,Adaptimmune Therapeutics plc,Biotechnology,125525460
ADBE,Adobe Inc.,Software - Infrastructure,239915782000
ADC,Agree Realty Corporation,REIT - Retail,5510506400
ADCT,ADC Therapeutics SA,Biotechnology,56699739
ADD,"Color Star Technology Co., Ltd.",Entertainment,3317126
ADEA,Adeia Inc.,Software - Application,893522610
ADES,"Advanced Emissions Solutions, Inc.",Pollution & Treatment Controls,55672450
ADEX,Adit EdTech Acquisition Corp.,Shell Companies,95141321
ADI,"Analog Devices, Inc.",Semiconductors,77677183826
ADIL,"Adial Pharmaceuticals, Inc.",Biotechnology,2375061
ADM,Archer-Daniels-Midland Company,Farm Products,38094070449
ADMA,"ADMA Biologics, Inc.",Biotechnology,742189800
ADN,"Advent Technologies Holdings, Inc.",Utilities - Renewable,21557998
ADNT,Adient plc,Auto Parts,3135626450
ADOC,Edoc Acquisition Corp.,Shell Companies,41932863
ADP,"Automatic Data Processing, Inc.",Staffing & Employment Services,88960136000
ADPT,Adaptive Biotechnologies Corporation,Biotechnology,626312815
ADRT,Ault Disruptive Technologies Corporation,Shell Companies,37471252
ADSE,ADS-TEC Energy PLC,Electrical Equipment & Parts,317251350
ADSK,"Autodesk, Inc.",Software - Application,42280381560
ADT,ADT Inc.,Security & Protection Services,5241770495
ADTH,"AdTheorent Holding Company, Inc.",Advertising Agencies,104963826
ADTN,"ADTRAN Holdings, Inc.",Communication Equipment,496482158
ADTX,"Aditxt, Inc.",Biotechnology,1574400
ADUS,Addus HomeCare Corporation,Medical Care Facilities,1348900893
ADV,Advantage Solutions Inc.,Advertising Agencies,730235232
ADVM,"Adverum Biotechnologies, Inc.",Biotechnology,87863910
ADXN,Addex Therapeutics Ltd,Biotechnology,5414611
AE,"Adams Resources & Energy, Inc.",Oil & Gas Refining & Marketing,81109760
AEAE,AltEnergy Acquisition Corp.,Shell Companies,77085090
AEE,Ameren Corporation,Utilities - Regulated Electric,19716760000
AEG,Aegon N.V.,Insurance - Diversified,9311369267
AEHL,Antelope Enterprise Holdings Limited,Building Products & Equipment,4858932
AEHR,Aehr Test Systems,Semiconductor Equipment & Materials,677282980
AEI,Alset EHome International Inc.,Real Estate - Development,12098007
AEIS,"Advanced Energy Industries, Inc.",Electrical Equipment & Parts,3259447070
AEL,American Equity Investment Life Holding Company,Insurance - Life,4149267950
AEM,Agnico Eagle Mines Limited,Gold,23622567680
AEMD,"Aethlon Medical, Inc.",Medical Devices,3576283
AENT,Alliance Entertainment Holding Corporation,Entertainment,138707504
AENZ,Aenza S.A.A.,Engineering & Construction,163012793
AEO,"American Eagle Outfitters, Inc.",Apparel Retail,3420422880
AEON,"AEON Biopharma, Inc.",Biotechnology,181710444
AEP,"American Electric Power Company, Inc.",Utilities - Regulated Electric,38849422160
AER,AerCap Holdings N.V.,Rental & Leasing Services,13099245560
AES,The AES Corporation,Utilities - Diversified,10010953430
AESI,Atlas Energy Solutions Inc.,Oil & Gas Equipment & Services,1929000019
AEVA,"Aeva Technologies, Inc.",Auto Parts,110828458
AEY,"ADDvantage Technologies Group, Inc.",Electronics & Computer Distribution,4307469
AEYE,"AudioEye, Inc.",Software - Application,47933578
AEZS,Aeterna Zentaris Inc.,Biotechnology,7380938
AFAR,Aura FAT Projects Acquisition Corp,Shell Companies,62322090
AFBI,"Affinity Bancshares, Inc.",Banks - Regional,92472480
AFCG,"AFC Gamma, Inc.",REIT - Specialty,219101967
AFG,"American Financial Group, Inc.",Insurance - Property & Casualty,9166966072
AFIB,"Acutus Medical, Inc.",Medical Devices,14658809
AFL,Aflac Incorporated,Insurance - Life,45980400038
AFMD,Affimed N.V.,Biotechnology,49714956
AFRI,Forafric Global PLC,Farm Products,289756698
AFRM,"Affirm Holdings, Inc.",Software - Infrastructure,5159138383
AFYA,Afya Limited,Education & Training Services,1522058256
AG,First Majestic Silver Corp.,Silver,1560578284
AGAE,Allied Gaming & Entertainment Inc.,Entertainment,31209427
AGBA,AGBA Acquisition Limited,Shell Companies,30652879
AGCO,AGCO Corporation,Farm & Heavy Construction Machinery,8401501891
AGE,"AgeX Therapeutics, Inc.",Biotechnology,23666431
AGEN,Agenus Inc.,Biotechnology,301645868
AGFY,Agrify Corporation,Engineering & Construction,2223442
AGI,Alamos Gold Inc.,Gold,5053666704
