Symbol,"Name"
COMP,"NASDAQ Composite Index"
DJCIAGC,"Dow Jones Commodity Index Agriculture Capped Component"
DJCICC,"Dow Jones Commodity Index Cocoa"
DJCIEN,"Dow Jones Commodity Index Energy"
DJCIGC,"Dow Jones Commodity Index Gold"
DJCIGR,"Dow Jones Commodity Index Grains"
DJCIIK,"Dow Jones Commodity Index Nickel"
DJCIKC,"Dow Jones Commodity Index Coffee"
DJCISB ,"Dow Jones Commodity Index Sugar"
DJI,"Dow Jones Industrial Average"
DJINET,"Dow Jones Internet Composite Index"
DJTTR,"Dow Jones Transportation Average TR"
DRG,"NYSE Arca Pharmaceutical Index"
DWCPF,"Dow Jones U.S. Completion Total Stock Market Index"
DXY,"U.S. Dollar Index"
EVZ,"CBOE Eurocurrency Volatility Index"
FVX,"Treas Yld Index-5 Yr Nts"
GVX,"CBOE/COMEX Gold Volatility Index"
HGX,"PHLX Housing Sector"
NDX,"NASDAQ-100"
NYA,"NYSE Composite"
NYFANG,"NYSE FANG+ Index"
OEX,"S&P 100"
OSX,"PHLX Oil Service Sector"
OVX,"CBOE Crude Oil Volatility Index"
RUA,"Russell 3000"
RUI,"Russell 1000"
RUT,"Russell 2000"
RVX,"CBOE Russell 2000 Volatility Index"
SP500LVOL,"S&P 500 Low Volatility Index"
SP600,"S&P 600"
SPGSCI,"S&P GSCI"
SPSIBI,"S&P Biotechnology Select Industry Index"
SPX,"S&P 500"
SVX,"S&P 500 Value"
TNX,"Treas Yld Index-10 Yr Nts"
TYX,"Treas Yld Index-30 Yr Bd"
UTIL,"Public Utilities Index"
UTY,"PHLX Utility Sector Index"
VIX,"CBOE Volatility Index"
VIX3M,"CBOE S&P 500 3-Month Volatility Index"
VIX9D,"Cboe S&P 500 9-Day Volatility Index"
VVIX,"VVIX Index"
W5000,"FT Wilshire 5000 Full Cap Index"
XAU,"Philadelphia Gold and Silver Index"
XAX,"NYSE American Composite Index"
XMI,"NYSE Arca Major Market Index"
DJCISB,"Dow Jones Commodity Index Sugar"
DJCISI,"Dow Jones Commodity Index Silver"
GVZ,"CBOE Gold Volatility Index"
